departamento,anio,franja_horaria,siniestros
AREQUIPA,2013,14:00 A 20:00,2074
AREQUIPA,2013,20:00 A 02:00,1487
AREQUIPA,2013,02:00 A 08:00,972
AREQUIPA,2014,08:00 A 14:00,1783
AREQUIPA,2014,14:00 A 20:00,1799
AREQUIPA,2014,20:00 A 02:00,1073
AREQUIPA,2014,02:00 A 08:00,975
AREQUIPA,2015,00:01 A 02:00,184
AREQUIPA,2015,02:01 A 04:00,282
AREQUIPA,2015,04:01 A 06:00,305
AREQUIPA,2015,06:01 A 08:00,515
AREQUIPA,2015,08:01 A 10:00,548
AREQUIPA,2015,10:01 A 12:00,485
AREQUIPA,2015,12:01 A 14:00,496
AREQUIPA,2015,14:01 A 16:00,510
AREQUIPA,2015,16:01 A 18:00,515
AREQUIPA,2015,18:01 A 20:00,554
AREQUIPA,2015,20:01 A 22:00,501
AREQUIPA,2015,22:01 A 24:00,287
AREQUIPA,2016,00:01 A 02:00,248
AREQUIPA,2016,02:01 A 04:00,248
AREQUIPA,2016,04:01 A 06:00,389
AREQUIPA,2016,06:01 A 08:00,504
AREQUIPA,2016,08:01 A 10:00,600
AREQUIPA,2016,10:01 A 12:00,495
AREQUIPA,2016,12:01 A 14:00,461
AREQUIPA,2016,14:01 A 16:00,517
AREQUIPA,2016,16:01 A 18:00,551
AREQUIPA,2016,18:01 A 20:00,590
AREQUIPA,2016,20:01 A 22:00,497
AREQUIPA,2016,22:01 A 24:00,310
AREQUIPA,2017,00:01 A 02:00,240
AREQUIPA,2017,02:01 A 04:00,262
AREQUIPA,2017,04:01 A 06:00,335
AREQUIPA,2017,06:01 A 08:00,539
AREQUIPA,2017,08:01 A 10:00,562
AREQUIPA,2017,10:01 A 12:00,497
AREQUIPA,2017,12:01 A 14:00,502
AREQUIPA,2017,14:01 A 16:00,458
AREQUIPA,2017,16:01 A 18:00,469
AREQUIPA,2017,18:01 A 20:00,570
AREQUIPA,2017,20:01 A 22:00,434
AREQUIPA,2017,22:01 A 24:00,289
