departamento,anio,sexo,grupo_etario,fallecidos
ANCASH,2023,MASCULINO,DE 6 A 11 AÑOS,0
ANCASH,2023,MASCULINO,DE 12 A 17 AÑOS,2
ANCASH,2023,MASCULINO,DE 18 A 29 AÑOS,33
ANCASH,2023,MASCULINO,DE 30 A 59 AÑOS,40
ANCASH,2023,MASCULINO,DE 60 A MÁS AÑOS,14
ANCASH,2023,FEMENINO,DE 0 A 5 AÑOS,1
ANCASH,2023,FEMENINO,DE 6 A 11 AÑOS,0
ANCASH,2023,FEMENINO,DE 12 A 17 AÑOS,2
ANCASH,2023,FEMENINO,DE 18 A 29 AÑOS,8
ANCASH,2023,FEMENINO,DE 30 A 59 AÑOS,12
ANCASH,2023,FEMENINO,DE 60 A MÁS AÑOS,3
ANCASH,2024,MASCULINO,DE 0 A 5 AÑOS,2
ANCASH,2024,MASCULINO,DE 6 A 11 AÑOS,2
ANCASH,2024,MASCULINO,DE 12 A 17 AÑOS,5
ANCASH,2024,MASCULINO,DE 18 A 29 AÑOS,30
ANCASH,2024,MASCULINO,DE 30 A 59 AÑOS,37
ANCASH,2024,MASCULINO,DE 60 A MÁS AÑOS,16
ANCASH,2024,FEMENINO,DE 0 A 5 AÑOS,0
ANCASH,2024,FEMENINO,DE 6 A 11 AÑOS,1
ANCASH,2024,FEMENINO,DE 12 A 17 AÑOS,4
ANCASH,2024,FEMENINO,DE 18 A 29 AÑOS,7
ANCASH,2024,FEMENINO,DE 30 A 59 AÑOS,9
ANCASH,2024,FEMENINO,DE 60 A MÁS AÑOS,4
APURIMAC,2008,MASCULINO,MENOR DE 18 AÑOS,6
APURIMAC,2008,MASCULINO,MAYOR DE 18 AÑOS,22
APURIMAC,2008,FEMENINO,MENOR DE 18 AÑOS,9
APURIMAC,2008,FEMENINO,MAYOR DE 18 AÑOS,19
APURIMAC,2009,MASCULINO,MENOR DE 18 AÑOS,9
APURIMAC,2009,MASCULINO,MAYOR DE 18 AÑOS,15
APURIMAC,2009,FEMENINO,MENOR DE 18 AÑOS,19
APURIMAC,2009,FEMENINO,MAYOR DE 18 AÑOS,9
APURIMAC,2010,MASCULINO,DE 0 A 5 AÑOS,0
APURIMAC,2010,MASCULINO,DE 6 A 12 AÑOS,3
APURIMAC,2010,MASCULINO,DE 13 A 18 AÑOS,7
APURIMAC,2010,MASCULINO,DE 19 A 25 AÑOS,17
APURIMAC,2010,MASCULINO,DE 26 A 60 AÑOS,7
APURIMAC,2010,MASCULINO,DE 60 A MÁS AÑOS,2
APURIMAC,2010,FEMENINO,DE 0 A 5 AÑOS,0
APURIMAC,2010,FEMENINO,DE 6 A 12 AÑOS,0
APURIMAC,2010,FEMENINO,DE 13 A 18 AÑOS,1
APURIMAC,2010,FEMENINO,DE 19 A 25 AÑOS,6
APURIMAC,2010,FEMENINO,DE 26 A 60 AÑOS,2
APURIMAC,2010,FEMENINO,DE 60 A MÁS AÑOS,0
APURIMAC,2011,MASCULINO,DE 0 A 5 AÑOS,0
APURIMAC,2011,MASCULINO,DE 6 A 12 AÑOS,8
APURIMAC,2011,MASCULINO,DE 13 A 18 AÑOS,13
APURIMAC,2011,MASCULINO,DE 19 A 25 AÑOS,14
APURIMAC,2011,MASCULINO,DE 26 A 60 AÑOS,7
APURIMAC,2011,MASCULINO,DE 60 A MÁS AÑOS,0
APURIMAC,2011,FEMENINO,DE 0 A 5 AÑOS,0
APURIMAC,2011,FEMENINO,DE 6 A 12 AÑOS,0
APURIMAC,2011,FEMENINO,DE 13 A 18 AÑOS,2
APURIMAC,2011,FEMENINO,DE 19 A 25 AÑOS,2
